aid,sub,本科学校档次,本科专业,本科成绩和算法、排名,其他说明,研究生专业,研究生成绩和算法、排名,研究生学校档次,IELTS_Overall,IELTS_R,IELTS_L,IELTS_S,IELTS_W,TOEFL_Overall,TOEFL_R,TOEFL_L,TOEFL_S,TOEFL_W,GRE_Overall,GRE_V,GRE_Q,GRE_AW,GMAT_Overall,GMAT_Q,GMAT_V,LSAT
2150438,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,汉语言,3.5/4.0,国家级 科研 一段 校级 科研 一段 校内 最高 无 论文 发表 田野 调查 两段 智库 和 外企 均 和 本 专业 相关 实习 两段,,,,,,,,,105,28,29,24,24,325,157,168,4.0,,,,
2150466,,City University of Hong Kong,Media and communications,3.6/4.3,,,,,,,,,,114,30,30,24,30,328,162,166,4,,,,
2150458,,211 & 985,英语,3.52/4.3,,,,,,,,,,110,30,29,26,25,318,154,164,4,,,,
2150459,,,信息与计算科学,,,,,,,,,,,,,,,,,,,,,,,
2150495,,某政法院校,法学,S,  西北 未 面试 一个 内所 实习   一个 外所 实习 语言 成绩 实在 太低 太晚,,,,,,,,,,,,,,,,,,,,,
2150457,,211 & 985,英语,3.52/4.3,社团活动 助教 两段 伯克利 交换,,,,,,,,,110,30,29,26,25,318,154,164,4,,,,
2150492,,东北林业大学,风景园林&日语,86.5,,,,,6.5,6.5,6.5,6,6,,,,,,,,,,,,,
2150443,,211,给排水,3.32/4,,,,,6,6.5,6,5.5,5.5,,,,,,,,,,,,,
2150477,,211 & 985,,,本科 理科 实验班 中 法 联合 办学 因此 有 法语 背景 和 法国 交换 经历 研究生 主要 是 微电子 专业 因此 属于 强行 转 专业 申,,,211 & 985,,,,,,104,30,30,20,24,328,162,166,3,,,,
2150494,,211,数学与应用数学,88,,,,,,,,,,,,,,,,,,,,,,
2150521,,台灣國立院校,建築系,GPA 3.32/4(WES),有   有 四段 實習 經驗 其中 一段 半年 於國 外事 務所 實習 數個 國內外 競賽 獎項 兩個 國內 首獎 作品集 裡放 了 - 個 作品,,,,,,,,,107,29,29,23,26,322,155,167,3.5,,,,
2150512,,,Economics,73,英国 本科   语言   但是 提交 了 两年 前考 的 雅思     +   写作   还 在 等 其他 几个 学校   暂未 决定   推荐信 一封 本校 计量 老师 的   一封 法国 交换 数学老师 的   一封 国内 导师 的   两个 国内 实习   一个 国外 实习     一个 两年 的 创业 经历   一个   一篇 论文 法语   德语   法国 交换 一 学期   美国 某校   没有 比赛 没有 奖   没有 学生会 经历 和 志愿者 活动 额 本来 决定 继续 申 英国 月底 打算 加 美国   一月 考了 一次   不 打算 再考 了,,,,,,,,,,,,,,,,,,,,,
2150600,,华中科技大学,光电科学与工程,加权84.8/100  GPA 3.72,,,,,,,,,,95,28,24,19,24,,,,,,,,
2150549,,双非,商务英语,3.78/5.0   1/124,两个   咨询 实习 一个 与 申请 专业 方向 相关 一次 国际 部委 实习 一个 国内 智库 实习 无 论文 有 校级 科研 立项 推荐信 两个 本科 教授 一封 实习 领导 无牛 推 没有 定量 背景 也 被 录取 了 真的 运气 很 好 ～ 现在 还 在 等 哥大 和 的 结果 希望 能 有 个 圆满 的 结果 啦,,,,,,,,,107,29,30,23,25,328,161,167,3.0,,,,
2150525,,211 & 985,传媒,3.59/4.0,没 怎么 好好学习 也 没 怎么 拿奖 毕业 后 去 美帝 读 了 一年 项目,,,,,,,,,,,,,,,,,,,,,
2150533,,211 & 985,自动化,88.8/100,一区   一作   申请 时 在 审月 中旬 录用 后 向 导师 了 一区   三作   申请 时 在 审 三区   三作   申请 时 在 审 国内 会议   四作   申请 时 录用,控制科学与工程,89.14/100,211 & 985,7,8,8.5,6,6,,,,,,,,,,,,,
2150542,,一般 985&211,软件工程,GPA 3.2   83.8/100      12/89,,,,,,,,,,,,,,,,,,,,,,
2150500,,某政法院校,法学,S,一个 内所 实习   一个 外所 实习   学校 学术 杂志 无 论文   有 学校 二等 奖学金  ,,,,,,,,,,,,,,,,,,,,,
2150604,,211 & 985,电子科学与技术,GPA3.78/4   Ranked:2,篇篇 一作   篇二作   篇 会议,通信与信息系统,,211 & 985,,,,,,89,25,23,19,22,,,,,,,,
2150551,Physics（物理）                    820,211 & 985,物理,82.63/100,,,,,,,,,,103,30,26,23,24,322,152,170,3.5,,,,
2150553,,双非,汉语言文学/金融学第二学位,3.8,,,,,,,,,,6.5,7,7,5.5,5.5,,,,,,,,
2150587,,211,广播电视学,3.69/4.0,,,,,6.5,8,5,6,6,,,,,,,,,,,,,
2150608,,211,英语,88.91 （5/109）,推荐信 都 是 比较 熟 的 老师 写 的 讲师   话 说 港 大 应该 是 不要 推荐信 的 两份 水得 不得了 的 实习   都 是 小 机构 做 英语老师   还有 一周 巴厘岛 英语教学 国奖 一奖 二奖 各 一次   一个 推荐人 老师 带 我 做 过 一个 南大 的 人文 社科类 科研   项目 很 高大 上   但是 工作 很水 做 过系 学生会 部长   拿 了 一些 小奖 无 论文   无 交换   无 比赛 经历   无 教育 资格证,,,,7.5,8,8.5,6.5,6,,,,,,,,,,,,,
2150634,,211,ee,3.47  87/100,,,,,,,,,,,,,,,317,152,165,3,,,,
2150630,,211,交通运输,3.68,,,,,,,,,,90,25,23,18,24,323,153,170,3,,,,
2150621,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,光电,top10%,,,,,,,,,,102,29,26,19,28,322,153,169,3.5,,,,
2150628,,北京林业大学,园林,86.65,,,,,,,,,,105,26,30,24,25,315,152,163,3.5,,,,
2150641,,211 & 985,环境工程,15%,,,,,,,,,,103,29,28,24,22,319,149,170,3.5,,,,
2150647,,双非,Applied Chemistry,3.54/4.00,本科 在 日本 某大學,,,,,,,,,111,28,30,23,30,,,,,,,,
2150651,,211 & 985,农业工程,87/100,篇 出版 论文   篇 在 审   国际 志愿者   奖学金 专利 一些 小 奖,,,,7.5,9,8,6,6,,,,,,319,149,170,3,,,,
2150645,,,,,,,,,,,,,,,,,,,,,,,,,,
2150638,,双非,机械制造及其自动化,83.35  专业课成绩都比较高，很多课（比如军事训练65分）拉下来了,研究生 一篇 区 一作 本科 国内 数学 建模 国家 二等奖 不 重要 的 奖 若干,固体力学,92.2,211,,,,,,96,29,24,22,21,323,153,170,3.0,,,,
2150648,,211,经济,87/100,无     两段 美赛 奖 推荐信 本校,,,,,,,,,113,30,28,26,29,333,163,170,4.5,,,,
2150657,,双非,建筑环境与能源应用工程,3.51/4.0  排名： 7 /60,论文 一篇 一作 大创 项目 两个 国家级 市级 实习 经历 一段,,,,,,,,,,,,,,,,,,,,,
2150663,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融,3.5,,,,,7,7.5,7.5,5.5,7,,,,,,,,,,,,,
2150640,,双非,土木工程,,,,,,6.5,7.5,5.5,6,6,,,,,,,,,,,,,
2150668,,清华/北大/中科大,政治、经济与哲学,85/100,三个 科研 四个 实习 一段 短期 交换,,,,,,,,,,,,,,,,,,,,,
2150680,,Feng Chia University,Electrical Engineering,GPA 4/4    92.23/100   1/142,,,,,7,7.5,6,6.5,7,,,,,,,,,,,,,
2150671,,,材料科学与工程,major90 9/82,,,,,,,,,,103,29,28,23,23,330,160,170,3.5,,,,
2150685,,Feng Chia University,Electrical Engineering,90+,,,,,7,7.5,6,6.5,7,,,,,,,,,,,,,
2150697,,双非,地理信息科学,3.17、4,一个 水大创 一个 水 实习,,,,,,,,,,,,,,,,,,,,,
2150689,,双非,Financial Mathematics,3.69,,,,,,,,,,101,25,26,23,27,318,156,162,3.0,,,,
2150713,,211&985,经济,,,经济,,211&985,,,,,,,,,,,,,,,,,,
2150721,,211,生物工程,2.99,研究生 没有 拿到 学位 推荐信 是 硬伤 只有 本科 推荐信 无 文章 还有 本科 太低 还有 套到 的 老师 特别 高冷 说 你 写 我 的 名字 我 可能 会 看 然后 就 傻乎乎 写 了 然后 那 老师 就 消失 了,神经生物学,3.5,中国科技大学,,,,,,9090,26,23,20,21,322,158,164,2.5,,,,
2150691,,emmmm 美本,金融,3.2,花 了 很久很久 去 写 是 个 大 短板 没 啥 特别 得 经历 毕业 就 去 投行 了 跟 其实 完全 不 相关 但 在 中 合理 阐述 了 我 为什么 要学 这个 专业 其他 的 学校 晚点 如果 有 我 再 给 大家 做 参考,,,,,,,,,,,,,,328,162,166,4,,,,
2150720,,双非,通信工程,82,年 研究所 工作 经验 个 月 互联网 企业 工作 经验 篇水 论文 一些 学校 的 水 奖学金,,,,,,,,,,,,,,,,,,,,,
2150702,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,经济,3.81/4.0,,,,,,,,,,,,,,,,,,,,,,
2150695,,211 & 985,城乡规划,3.41 (WES),,,,,,,,,,106,29,26,24,27,320,151,169,3.5,,,,
2150728,,西南政法大学,英语,AA,某 大型 红圈律 所 五年 工作 经验,国际法,S,对外经济贸易大学,,,,,,113,30,29,27,27,,,,,,,,
2150733,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,在律 所 工作 年 以上 推荐信 三封 研究生 老师 前 同事 前 客户,,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,,,,,,,,,,,,,
2150726,,美本,电子工程,GPA 3.5,约 两年 美国公司 工作 经验 本科 期间 两个 水 的 语言 成绩 应该 是 掉 了,,,,,,,,,,,,,,313,150,163,3.5,,,,
2150727,,美本,Electrical Engineering,3.1,一个 两个 一个 会议,,,,,,,,,,,,,,314,148,166,3,,,,
2150732,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,3.67,,国际法,3.65,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,,,,,,,,,,,,,
2150723,,211 & 985,英语,3.4,,TESOL,3.9,,,,,,,107,28,27,27,25,317,,,4.0,,,,
2150753,,211 & 985,international devlopement,3.5+/4.0,一封 大牛 推荐信 一个 国家 智库 实习 实习,,,,,,,,,,,,,,,,,,,,,
2150735,,大连理工大学,土木工程（英语强化）,加权平均 3.04 / 4.00,毕业 后 做 过 半年 工地 上 的 预算员 两年 桥梁 伸缩缝 的 钢结构 设计师 年 建筑 方案 设计师 年 考取 天津大学 在职 研究生 年 月 开始 休息 并 继续 充电 学习 年 当中 用个 月 在 云南 越南 旅行 个 月 的 木工 学习 个 月 做 上海 喜马拉雅 美术馆 的 志愿者 月份 儿子 出生 年 上半年 考 了 年 月 中旬 至 月 中旬 开始 在 某 机构 中 做 作品集 辅导 前 作品集 - - 辅导 后 申请 作品集           ____       -,建筑与土木工程（在职研究生）,加权平均 3.56 / 4.00,天津大学,,,,,,104,27,27,27,23,317,152,165,3,,,,
2150755,,211,遥感,86.67,水 科研 和 水 实习 各 两三个 推荐信 有 一个 专业 的 大牛 不过 申请 的 是 环境工程,,,,,,,,,,,,,,323,155,168,3.5,,,,
2150722,,211,生物工程,2.99,无 论文 无 研究生 推荐信 只有 本科 硬伤 还 无 研究生 学位 没有 陶瓷 说 是 正式 决定 在 会 给出,神经生物学,3.5,中国科技大学,,,,,,9090,26,23,20,21,322,158,164,2.5,,,,
2150752,,双非,法学,82.6/100  LSAC评价aa,一个 长期 法学 小组讨论 一个 小 公司 实习 经验,,,,,,,,,87,28,22,18,19,,,,,,,,
2150741,,211,电气,91.65/100,两篇 会议,电气,88.8/100,211 & 985,,,,,,91,28,23,20,20,318,150,168,3.0,,,,
2150758,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,electrical engineering,3.65/4.0,无 论文 无牛 推,,,,,,,,,106,28,28,24,26,322,152,170,3.5,,,,
2150761,,211 & 985,neuro education,83／100,,,,,,,,,,,,,,,,,,,,,,
2150766,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,汉语言文学,3.57/4,直到 大 三才 突然 决定 想 转 传媒 因此 没有 什么 相关 的 学术 成果 只有 一份 本地 知名 报社 的 新 媒体 编辑 实习 经历,,,,7,8.5,7.5,5.5,6.0,,,,,,,,,,,,,
2150774,,211,电气工程及其自动化,88.9/100,,,,清华/北大/中科大,7,7.5,7.5,6,6,,,,,,,,,,,,,
2150762,,211,风景园林,3.67,有 挺 多 实习 没有 什么 竞赛 获奖 论文 发表 一篇 跟着 研究生 导师 做 了 挺 多 实际 项目,风景园林,3.87,211,,,,,,100,28,27,22,23,324,155,169,3,,,,
2150765,,211,法学,3.8 (TOP2%),,,,,,,,,,,,,,,,,,,,,,
2150789,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,Geomatics,3.2/4,,,,,6.5,7,7,6,6,,,,,,,,,,,,,
2150793,,211,经济学,88.2/100，前20%,,,,,,,,,,,,,,,,,,,,,,
2150791,,211,建筑学,3.51， 6/72,,,,,,,,,,,,,,,,,,,,,,
2150780,,211,会计,87.5/100,,,,,,,,,,,,,,,,,,,,,,
2150784,,双非一本,航海技术,GPA82,一年 工作 经验,,,,,,,,,,,,,,,,,,,,,
2150810,,苏州大学,会计,3.4/4.0,,,,,6,5.5,5,6,6.5,,,,,,,,,,,,,
2150806,,中国政法大学,法学,4.0/6.5,,,,,,,,,,109,29,28,23,29,,,,,,,,
2150798,,211 & 985,人文地理与城乡规划,3.8/4.0,无 论文 推荐信 是 找 熟悉 的 老师 签 的 不 需要 推荐信 有个 校级 奖学金 个 实习 课外活动 乱七八糟 有 一些 另外 写 时候 有 提到 做过 的 项目 其实 大多 都 是 课程 作业 -   -   另外 还 申请 了 隆德 港 中文 的   月份 来 了 但是 给 的 留位 费时间 好少 啊 最后 拒 了 和 港 大 的   在 等,,,,7,7,7.5,6,7,,,,,,,,,,,,,
2150804,,双非,GIS,84.9,,,,,6,6,6.5,5,6,,,,,,,,,,,,,
2150834,,211 & 985,电气工程及其自动化,86/100,,,,,7,8.5,8,5.5,6,,,,,,,,,,,,,
2150821,,美本,心理学,3.3/4,,,,,,,,,,105,24,24,28,29,313,151,162,4,,,,
2150842,,双非,法学,3.89/5  top10%,,,,,,,,,,102,29,24,24,25,,,,,,,,
2150847,,南京大学,经济学,4.32/5,在 国内 某 商业银行 工作 两年 之前 有 基金 实习 经历 很 好 沟通 的,,,,7,8,7.5,6,5.5,,,,,,,,,,690,50,32,
2150841,,Queen Magret University,酒店与旅游管理,二等一,有 三年 媒体 相关 工作 经验 大学 成绩 大 一大 二     大三 那年 垃圾 的 一   推荐信 是 公司 两位 大佬 给 写 的   让 中介 申请 的   万万 没想到 录取 了   哈哈,,,,,,,,,,,,,,,,,,,,,
2150858,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,3.0+/4.0,年外 所 工作 经验 看来 西北 还是 吃 工作 经验 的,,,,,,,,,104,29,30,23,22,,,,,,,,
2150855,,,,,,,,,,,,,,,,,,,,,,,,,,
2150856,,211 & 985,光电信息科学与工程,3.68/4.0,参加 过 的 一个 夏令营 项目 就入 坑 了 无 论文 科研 经历 基本 为 零 惭愧 惭愧,,,,7,9.0,7.5,5.0,6.5,,,,,,,,,,,,,
2150884,,双非,法学,AA,,,,,,,,,,,,,,,,,,,,,,
2150854,,211 & 985,会计学,4.5/5.0,,,,,7,8,7.5,6,6,,,,,,,,,,79,50,29,
2150894,,,,,,,,,,,,,,,,,,,,,,,,,,
2150864,,211 & 985,公共管理,88.7/100,二线 咨询 公司 实习 经历 学生会 任职 经历 发表 过 一般性 期刊,,,,7.5,8.5,8.5,6,6,,,,,,,,,,,,,
2150891,,华中科技大学,热能与动力工程,81,,,,,,,,,,100,28,28,23,21,322,152,170,3,,,,
2150887,,东南大学,景观,WES认证 3.76,,,,,7,8,7,7,6,,,,,,313,151,162,3,,,,
2150904,,,建筑环境与能源应用工程,,,,,,,,,,,,,,,,,,,,,,,
2150889,,澳门大学,小学教育,3.62/4.00,一年 实习 经验 一年 工作 经验,,,,7,7.5,9,6,6,,,,,,,,,,,,,
2150897,,211 & 985,英语,87.9,工作 经验 两年 英语 教师 奖学金 若干 无 海外 交流经验,,,,7.5,8.5,8.5,6.5,6.5,,,,,,,,,,,,,
2150910,,211 & 985,飞行器动力工程,78,有 一个 机器人 比赛 国奖 和 国际 比赛 奖项 都 是 一等奖 一个 美国 国家 仪器 的 助理 工程师 认证 参加 过 机器人 和 一个 智能 机器 的 项目,,,,6.5,7,6.5,6.5,6,,,,,,,,,,,,,
2150892,,211 & 985,会计学,4.5/5.0,,,,,7,8,7.5,6,6,,,,,,,,,,79,50,29,
2150914,,双非,金融学,89.89,无 论文 无牛 推 参加 过     和   考过 了     三份 水 实习 有国奖 连续 三年 校级 奖学金,,,,7,8.5,8,5.5,6,,,,,,,,,,710,51,34,
2150900,,211 & 985,港口航道与海岸工程,89/100,一篇 中文 核心 论文,港口航道与海岸工程,3.57,211 & 985,7,6.5,9,5.5,6,,,,,,,,,,,,,
2150915,,电子科技大学,电子科学与技术,"88.20/100, 3.84/4.00",一篇 校级 奖项 若干 优秀 志愿者 全国 口语 测评 一等奖,,,,7,6.5,8.0,6.0,6.5,,,,,,308,140,168,3.0,,,,
2150908,,211,计算机科学与技术,4.73/5.0  6/99,,,,,7.5,8.5,7.5,6.5,6.5,,,,,,323,155,168,3.0,,,,
2150918,,211 & 985,经济学,3.2/4.0，23/95,,,,,6.5,7.5,7.5,6,5.5,,,,,,,,,,,,,
2150917,,电子科技大学,电子科学与技术,"88.20/100, 3.84/4.00",有 一篇 校级 奖项 若干 优秀 志愿者 全国 口语 测评 一等奖,,,,7,6.5,8.0,6.0,6.5,,,,,,308,140,168,3.0,,,,
2150924,,华南理工大学,轻化工程,gpa 3.3／4,,,,,6.5,7.0,5.5,7.0,6.5,,,,,,,,,,690,49,34,
2150926,,211 & 985,轨道交通,88.09/100,各种 奖学金 无 论文,,,,6.5,7.5,7,5.5,5.5,,,,,,,,,,,,,
2150954,,211 & 985,环境工程,87/100,二区 一作 一篇 无 实习 无国奖,,,,,,,,,107,29,28,22,28,326,157,169,3.5,,,,
2150943,,211 & 985,物理,72,,,,,6.5,8,6,5.5,6,,,,,,,,,,,,,
2150939,,,,,,,,,,,,,,,,,,,,,,,,,,
2150966,,211,Quantitative Economics,3.8/4,本科 小 蒻   一只 数学课程 除了 三个 标配 外 还有 实变 常微分 不过 差不多 快 忘 干净 了 高等 经济 课程 只学 了 高级 计量 研究 经历 半年 其实 就是 数据 清洗 工,,,,,,,,,108,29,28,27,24,329,159,170,3.0,,,,
2150941,,211,金融,90/100,,,,,,,,,,,,,,,,,,,,,,
2150963,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,财务管理,,木有 奖学金 不过 还是 很 喜欢 这个 学校 年 学费 软妹币   加上 生活费 应该 可以 解决 考虑 中,,,,,,,,,,,,,,,,,,,,,
2150981,,211,,3.6/4 均分87,两个 实习 院 奖学金 笔试 比 想象 中 的 难 一点 希望 大家 加油 现在 来 的 只是 推研信 也 不 确定 会 不会 有 最终,,,,,,,,,,,,,,,,,,,,,
2150957,,211,意大利语,90+ GPA:3.8,,,,,,,,,,,,,,,327,161,166,4,,,,
2150979,,211 & 985,,,,,,,,,,,,,,,,,,,,,,,,
2150989,,"University of California, Berkeley",Applied Mathematics & Economics,,虽然 是 数学 和 经济 专业 但是 很感兴趣 国际 关系 上 了 不少 有关 的 课 做 过 国际 论坛 实习 在校   写文章 校园内 做 和 政治 有关 的 推荐信 找 了 三位 本校   的 教授 在 美国 读 大学 所以 不 需要 提交 托福 成绩 但是 存档 了 本科 申请 时 的   分 比较 特别 的 是 年 就 毕业 了 所以 实习 和 课外 没有 足够 的 经历,,,,,,,,,,,,,,332,162,170,4.5,,,,
2150975,,211,英语,,,,,,,,,,,,,,,,,,,,,,,
2150990,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,光电信息科学与工程,87,,,,,,,,,,106,29,28,22,27,329,159,170,3.5,,,,
2151000,,211 & 985,新闻学,3.9/4,,,,,7,8.5,7,5.5,6,,,,,,,,,,,,,
2150992,,中山大学,软件工程,83/100,秒 录取 收到 邮件 说 已 查看 申请 - 周内出 结果 同时 秒钟 内 又 收到 第二封 邮件 说 已发,,,,,,,,,100,29,25,22,24,,,,,,,,
2151016,,四川大学,环境工程,87,三个 实习 三段 科研 经历,,,,7,8.5,7.5,6,6.5,,,,,,321,155,166,3,,,,
2151010,,211 & 985,统计学,3.23/4,有 研究生 国奖 和 其他 小 奖 但是 没有 拿到 提名 应该 是 本科 学校 和 本科 成绩 不太有 竞争力 而且 篇 目前 都 处于 在 投 状态 吧 申请 时 研究生 导师 帮写 了 推荐 导师 去 港 大 交流 过,统计学,,,,,,,,106,30,27,22,27,316,148,168,3,,,,
2151012,,211 & 985,历史,3.8,,,,,,,,,,110,29,29,24,28,331,161,170,4,,,,
2151005,,武汉大学,土木工程,,,,,,,,,,,103,29,29,22,23,321,152,169,3.5,,,,
2151014,,211,经济,86.24,,,,,,,,,,,,,,,,,,,,,,
2151027,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,社会学,4.41/5.0,,,,,,,,,,,,,,,,,,,,,,
2151025,,211 & 985,物理,3.7,低 无 科研成果 两次 出国 交流 经历,,,,,,,,,105,27,30,23,25,308,142,166,3.0,,,,
2151032,,清华/北大/中科大,PPE,3.7,两段 一段 本研 一段 实习 暑校,,,,,,,,,105,28,29,22,26,330,160,170,4,,,,
2151042,,,,,,,,,,,,,,,,,,,,,,,,,,
2151039,,211,新闻学,85,美国 交换 一年 挑战杯 三等奖 各种 小 奖学金 校园 活动 水 实习 一份,,,,,,,,,,,,,,,,,,,,,
2151034,,老八校,景观,3.4,来 的 是 年 的 不 知道 能 给 多少 奖,,,,,,,,,,,,,,,,,,,,,
2151048,,清华/北大/中科大,经济,89,,Econ,3.6,UMich,,,,,,,,,,,326,158,168,3.5,,,,
2151046,,211,行政管理 商务英语（双学位）,4.03/5、4/5,专业 排名   论文 一篇 普通 老师 推荐 国奖 一个 校 一等 二等 奖学金 专四 专八 几段 教育 机构 短 短短 实习 华东师大 和 中大 夏令营 的 优秀 营员 国际 论坛 志愿者,,,,7.5,8,8.5,6.5,7,,,,,,,,,,,,,
2151057,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,3.62/4,,,,,,,,,,104,28,29,23,24,325,155,170,3,,,,
2151060,,一般 985&211,软件工程,GPA 3.2   83.8/100      12/89,,,,,,,,,,,,,,,,,,,,,,
2151050,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,环境科学,90.2 加权平均,申请 到 了 学费 资助 全额 奖学金 哈哈哈 欢迎 所有人 来 交流经验,Civil and Environmental Engineering,Distinction,Imperial College London,7.5,8.5,8,6.5,7,,,,,,,,,,,,,
2151061,,华中科技大学,热能与动力工程,81/3.41（4）,,,,,,,,,,100,28,28,23,21,322,152,170,3,,,,
2151072,,中国海洋大学,新闻学,88/100,有 创行 的 - 个 社会 创新 项目 一个 福建 嵩口 人类学 田野 营 两份 媒体 实习 国家级 报刊 时尚 五大 刊,,,,7,7.5,7.5,6.5,6.5,,,,,,,,,,,,,
2151070,,211 & 985,金融学,3.94/5.0,实习 在 当时 申请 的 时候 就 一个 新 财富 券商 的 行研 实习 科研 方面 在 三个 院校 的 研究院 做 了 和 自己 学院 的 一个 导师 一起 写 了 两篇 学术论文 一篇 自己 翻译成 英文 作为 了 三封 推荐信 其中 一封 是 毕业 的 老师 写 的 牛 推,,,,7,7.5,7.0,6.5,6,,,,,,326,156,170,4.0,,,,
2151068,,211 & 985,建筑学,3.35/4.0,,,,,,,,,,106,30,27,22,27,322,153,169,3.0,,,,
2151075,,老八校,景观,3.4,无牛 推年 学校 奖学金 一次 实习 另外 两个 国内 的 不是 很 知名 的 竞赛,,,,,,,,,93,29,24,19,21,309,148,161,3,,,,
2151067,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,国际政治,3.23/4,日语 专业 相关 助管 经历 若段 水 实习 若干 写 推荐信 的 教授 和 对方 意向 导师 比较 熟悉,,,,,,,,,111,29,28,26,28,328,161,167,4,,,,
2151081,,211,劳动与社会保障,3.12,一年 银行 工作 四个 金融 实习 两个 科研 几个 奖学金 学生 干部,,,,,,,,,,,,,,,,,,,,,
2151079,,211,法学,3.36,个人 情况 法院 工作 五年 出头 院团委 副 书记 截止 申请 递交 日 在 政府 工作 一个多月 过司 考 获奖 方面 就是 一个 校 三等 奖学金 工作 后 每年 获得 的 单位 颁发 的 各种 奖 没有 参照 性 就 不 具体 说 了 学术 方面 无 提交 另外 也 申请 了 港 大 的 希望 好运,,,,7,7.5,8,6,6,,,,,,,,,,,,,
2151085,,211,劳动与社会保障,3.12,一年 银行 工作 四个 金融 实习 两个 科研 几个 奖学金 学生 干部,,,,,,,,,,,,,,,,,,,,,
2151083,,211,劳动与社会保障,3.12,一年 银行 工作 四个 金融 实习 几个 奖学金 两个 科研 学生 干部,,,,,,,,,,,,,,,,,,,,,
2151078,,211 & 985,新闻,3.5/4,,,,,7.5,8.5,8.5,7.5,6.0,,,,,,325,155,170,3.5,,,,
2151087,,澳门本科,Marketing,CGPA 3.65/4 In-Major GPA 3.95/4,推荐信 有 三封 一封 来自 学系 系主任 一封 来自 本校 教授 一封 来自 实习 上司 软 背景 方面 欧洲 交换 经历 期间 组织 了 中文 学习 小组 教 一些 外国 同学 普通话 实习 有 一段 项目 主管 经验 主要 是 活动 策划 执行 以及 一份 世界 五百强 管理 咨询 实习 三份 相关 实习 分别 为   和 其中 一家 是 世界 五百强 职业资格 方面 有 一个 偏水 的 美国市场 管理 学会 资格证书 社会活动 较 多 以 文化 探索 类 活动 为主 利用 过 暑假 在 北京 一间 创业 公司 做 相关 实习 接触 了 北京 很多 文创 店铺 两段 支教 经历 无 工作 经验 其余 还有 一些 不 相关 的 或者 比较 水 的 经历 没有 用于 申请,,,,,,,,,,,,,,,,,,,,,
2151150,,211 & 985,物理 管理（双学位）,83 & 89,,,,,7,8,7.5,5.5,6.0,,,,,,,,,,,,,
2151149,2,二本,应用外语系,3.91/4.0,大 三下 在 德国 科技 学校 交换 了 一个 学期 有 提供 毕业论文 给 校方,,,,7.0,7,8,6.5,6.0,,,,,,,,,,,,,
2151129,,双非,金融,3.87/5.0,,,,,7,7.5,7.5,7,6.5,,,,,,,,,,,,,
2151157,,双非,应用心理学,3.8,每年 都 有 一等 或 二等 奖学金 一个 学期 的 台湾 交流 经历 两次 省 心理学 会 三等 和 一等 论文 竞赛奖 实习 都 是 比较 与 专业 不相干 的,,,,6.5,6.5,6.5,6.5,6,,,,,,,,,,,,,
2151179,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,水利水电工程,3.62,,,,,,,,,,,,,,,,,,,,,,
2151187,,双非,生物工程,3.3,,,,,,,,,,,,,,,,,,,,,,
2151178,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,3.6,精品 所 工作 一年,,,,,,,,,,,,,,,,,,,,,
2151127,,211 & 985,外交学,3.73/4.0,两个 暑期 项目 和 香港理工大学 一个 美国参议院 实习 一年 美国 交换,,,,7,8.5,8.0,6.0,6.0,,,,,,321,154,167,4.0,,,,
2151152,,,Law,3.5+,工作 党,,,,,,,,,,,,,,,,,,,,,
2151181,,老八校,,3.6+/4,,,,,,,,,,,,,,,,,,,,,,
2151175,,211,国际关系,3.41/5,法学 经济 双学位 检察院 实习 会计师 事务所 实习 校 奖学金 杂七杂八 志愿者 活动 现为 执业 律师 月 中旬 交 纸质 材料,,,,7,7.5,6.5,7,6,,,,,,,,,,,,,
2151191,,双非,建筑学,3.74/4.0,,,,,,,,,,,,,,,,,,,,,,
2151189,,双非,法学,3.4/4.0,两封 教授 推荐信 红圈 所 实习 和 法院 实习 欧洲 交流 项目 等,民商法,,双非,,,,,,106,26,30,24,26,,,,,,,,
2151190,,211,财政学,,几段 实习 帮 智库 出过 几本书 有 海外 实习 及 志愿者 社团 学生 活动 商赛 若干,,,,,,,,,105,29,28,24,24,329,159,170,4,,,,
