,aid,sub,本科学校档次,本科专业,本科4.0绩点,本科4.3绩点,本科5.0绩点,本科均分,本科原始成绩,其他说明,研究生专业,研究生4.0绩点,研究生4.3绩点,研究生5.0绩点,研究生均分,研究生原始成绩,研究生学校档次,IELTS_Overall,IELTS_R,IELTS_L,IELTS_S,IELTS_W,TOEFL_Overall,TOEFL_R,TOEFL_L,TOEFL_S,TOEFL_W,GRE_Overall,GRE_V,GRE_Q,GRE_AW,GMAT_Overall,GMAT_Q,GMAT_V,LSAT
11403,2144335,,中国地质大学（武汉）,土地资源管理,3.16,3.22,3.32,83.16,83.16/100 12/58,,,,,,,,,6.5,7.5,7.0,5.0,5.5,,,,,,,,,,,,,
11404,2144332,,211,外交学,3.9,3.72,3.9,89,89,,,,,,,,,7,8.0,7.0,6.5,6.0,,,,,,,,,,,,,
11405,2144360,,211,软件工程,2.3,2.28,2.23,72.3,算数平均分72.3 GPA 71左右,工作 两年   相关 专业 的 工作 经验 大三 在 国内 某 大型软件 公司 一份 水 实习 无奖 无 证书 真学尘,,,,,,,,6,7,5.5,5.5,6,,,,,,,,,,,,,
11406,2144338,,双非,汉语国际教育,3.7,3.55,3.7,87.0,gpa3.7/4 top1,,,,,,,,,,,,,,94,25,21,24,24,300,140,160,3.5,,,,
11407,2144337,,双非一本,law,3.94,3.75,3.94,89.4,89.4,一等 奖学金     各种 实习     各种 活动   双非 宝贝 早 申请 雅思 尽量 高 嗯 嗯 不是 我 的     哈哈 起码 没有 忐忑不安 了 安心 等 吧 十月 末 申请 十一月 中旬 补 材料 十二月 底 的 没有 我   补交 了 雅思 等 了 两个 多周 吧 推研 信来 了 各种 群求 拉,,,,,,,,7,7,8,6.5,7,,,,,,,,,,,,,
11408,2144316,,211,船舶与海洋工程,3.46,3.34,3.46,84.6,3.46/84.6,两段 本 专业 实习 经历 社团 干部 经历 并 随校 访港 校级 奖学金 若干 一个 大创 无 科研 港大 只是 推研信 还 没来 正式 申请 用 的 雅思 小分 已过 估计 均分 不到 才 被 拒 的,,,,,,,,6.5,6.5,7.5,5.5,6,,,,,,,,,,,,,
11409,2144317,,,会计,3.62,3.48,3.62,86.17,86.17/100,博科尼夏校 相关 课题 两个 国家级 省部级 乱七八糟 课外活动 三段 不 相关 的 财务 实习 两个 强 一个,,,,,,,,7.5,8,8,6.5,6.5,,,,,,,,,,710,51,34,
11410,2144313,,211,法学,3.6,3.46,3.6,86,绩点86/100；排名25/90,无 面试 无 论文 无 交换 司考 未 通过 段 实习 经历 区 法律援助 中心 强 企业 法院 律所个校 三等奖 封 副教授 推荐信 一年 校 法律援助 中心 志愿者 还有 其他 一些 志愿 活动 辅修 英语翻译 专业,,,,,,,,7,7.5,7.5,6.5,6,,,,,,,,,,,,,
11411,2144371,,西北工业大学,自动化,3.7,3.55,3.7,87,均分87,本科 一项 国家级 竞赛 特等奖 一项 二等奖 校级 奖 若干 一次 制造业 国企 实习 一次 互联网 小 公司 实习 三次 校级 奖学金,,,,,,,,6.0,6.0,6.5,5.5,5.0,,,,,,,,,,,,,
11412,2144376,,西北工业大学,材料成型及控制工程,3.8,3.63,3.8,88,88/100,本科 期间 没拿过 国奖 大三 给 博士生 干活 过 激光 打印 的 研究 但是 这个 研究 的 四作 到 年 月 才 投出去 现在 还 没有 正式 录用 年 暑假 在 加拿大 做 过个 月 水 科研,,,,,,,,7.5,8.5,8,6.5,6,,,,,,326,157,169,3,,,,
11413,2144390,,双非,法学,3.2,3.12,3.2,82.0,3.2/4,没有 面试 有 大型 公司 法务 及律 所 工作 经验 比较 不错 的 司考 分数 有 基金 证券 会计 等 小证 法院 检察院 律所 实习 一些 不 重要 的 奖项 和 志愿者 其实 我 的 绩点 比较 低 大概 靠 工作 经验 帮忙 加分 把,,,,,,,,7,7.5,8.5,6,6.5,,,,,,,,,,,,,
11414,2144386,,211,法学&工商管理,2.89,3.19,3.29,82.89,82.89&82.69,本科 法学 强校 但 商科 渣渣 综排 一般 次 三等 奖学金 大创 项目 个 法学 方向 过司 考有 法院 律所 实习 经验 加上 年 半 公司 法务 工作 经验 申请 相对 容易 一些 还 在 等 港 大 的               均分 不够 是 硬伤 分 很 低 无 商科 工作 经验 导致 申请 的 商科 全军覆没,,,,,,,,7,8,7.5,5.5,6,,,,,,,,,,600,50,21,
11415,2144402,,双非,Electromechanical engineering,-3.55,-2.7,-3.55,14.5,14.5/20,,,,,,,,,6.5,7,7,6,6,,,,,,,,,,,,,
11416,2144404,,211 & 985,会展管理,3.9,3.72,3.9,89.0,3.9/4,两个 奖学金 一个 超水 的 实习     无 面试 两轮,,,,,,,,7.5,9,7.5,7,7,,,,,,,,,,730,50,38,
11417,2144395,,华北电力大学（保定）,自动化,3.55,3.42,3.55,85.5,85.5,智能 车 比赛 国 二四 旋翼 省级 大 创优 还有 一些 很水 的 创新 创业 大赛 两个 电厂 实习 无 论文 几个 单项 奖学金 系 三号,,,,,,,,6.5,6.5,7.5,5.5,5.5,,,,,,,,,,,,,
11418,2144398,,双非,经济,3.33,3.23,3.33,83.3,3.33,上过 高微 高宏 计量 线代 微积分 等 课 虽然 成绩 不怎么样 跟着 老师 做过 项目 一份 内容 很水 但是 名字 听 起来 好像 还 不错 一篇 没 发表 过 的 水 论文,,,,,,,,,,,,,,,,,,316,,170,3.5,,,,
11419,2144413,,双非,金融学,3.5,3.37,3.5,85,85分 3.5/5,,,,,,,,,7,7,7.5,7,6,,,,,,,,,,,,,
11420,2144419,,211 & 985,西班牙语,,,,,4/5 (15/36),纯 文科生 好 在 学校 选课 相对 自由 高 数线 代 概率论 什么 的 还是 有 的 虽然 成绩 都 很烂 有 某 互联网 公司 实习 后 端 开发 去 上 过 一个 暑校,,,,,,,,7.5,9,8.5,6.5,6,,,,,,,,,,,,,
11421,2144433,,双非,财政学,3.9,3.72,3.9,89,89 1／196,国奖   四个 科研   等等,,,,,,,,,,,,,,,,,,320,156,164,3.5,,,,
11422,2144444,,双非,法学,3.6,3.46,3.6,86.0,GPA 3.6 专业第一,,,,,,,,,,,,,,103,28,27,22,26,,,,,,,,
11423,2144449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11424,2144458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11425,2144454,,双非,国际经济与贸易,3.41,3.3,3.41,84.1,3.41,,,,,,,,,7,7.5,8,6,6,,,,,,,,,,,,,
11426,2144441,,211,道路桥梁与渡河工程,3.52,3.25,3.35,83.52,83.52、18/140,国有 建设 单位 近两年 工作 经验 目前 独立 负责 一系列 市政 项目,,,,,,,,,,,,,,,,,,,,,,,,,
11427,2144492,Chemistry（化学）                    880(95%),清华/北大/中科大,化学,,,,,2/62,,,,,,,,,,,,,,110,29,30,23,28,328,158,170,3.5,,,,
11428,2144485,,英本,Mathematics,,,,,均分九十多，排名Top1%,有 一个 应用 统计 相关 的 科研项目 三封 强推 感觉 主要 还是 看 毕业 学校 和 学术 成绩 吧 因为 是 没有 面试 环节 的 里 可以 写 一点 选课 的 想法 和 自己 对于 统计 的 哪些 方向 感兴趣 牛津 的 语言 成绩 要求 比较 高 因为 自己 打算 主申 美国 的 所以 手里 正好 有 一个 托福 成绩 刚好 满足 了 它 的 要求 也 顺便 交了 不过 应该 没有 什么 帮助 因为 网站 上 说 不 要求 哈里 了 二等 上 学位       后记 没想到 剑桥 竟然 也 生活 真是 处处 有 惊喜,,,,,,,,,,,,,111,30,28,25,28,328,158,170,3.5,,,,
11429,2144451,,211 & 985,哲学,3.2,3.12,3.2,82,82,约等于 无 的 经历 证明 材料 都 没有 申请 的 时候 简单 提了 下,,,,,,,,7,8,7.5,6,6.5,,,,,,,,,,,,,
11430,2144496,,211 & 985,法学,3.9,3.72,3.9,89,89/100,无 论文 无模庭 有 一些 普通 社会 实践 活动 和 校级 奖学金 实习 份红圈 所个 月 实习 份 普通 法院 实习 推荐人 学校 老师 三位 实习 律所 合伙人 一位,,,,,,,,,,,,,,,,,,,,,,,,,
11431,2144468,,双非,建筑学,3.2,3.12,3.2,82,82,两个 实际 项目 两段 水 实习 一个 闹着玩 的 小 工作室,,,,,,,,,,,,,,,,,,,,,,,,,
11432,2144478,,211,法学,3.75,3.59,3.75,87.5,3.75/4.0,三封 推荐信 两封 学校 教授 一封 律所 合伙人 都 很 普通 两段 实习 都 在 国内 某大所 但 内容 也 很 普通 评级 托福 是 硬伤 应该 不会 去 在 等 其他,,,,,,,,,,,,,103,27,27,23,26,,,,,,,,
11433,2144465,,双非,传媒相关,3.6,3.46,3.6,86.0,3.6/4，1%,三年 奖学金 几份 媒体 实习 其中 有 两份 新 媒体 相关 ～ 针对性 很强,,,,,,,,7.5,8,9,6,6,,,,,,,,,,,,,
11434,2144460,,211 & 985,信息对抗技术,3.65,3.5,3.65,86.5,86.5/100,,EEE,,,,,,HKU,6.5,7.5,7,6,5.5,,,,,,,,,,,,,
11435,2144515,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,ECE,,,,,20%,,,,,,,,,,,,,,111,30,27,26,28,,,,,,,,
11436,2144505,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,化学,3.14,3.06,3.14,81.4,3.14/4,一作 一篇 三作,有机化学,3.32,3.22,3.32,83.2,3.32/4,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,103,29,26,22,26,320,150,170,3.5,,,,
11437,2144504,,211 & 985,环境科学,3.6,3.46,3.6,86,86+,,,,,,,,,7,8,8,5.5,6.5,,,,,,,,,,,,,
11438,2144512,,211,法学,3.76,3.6,3.76,87.6,87.6,有 奖学金   论文   实习 经历   公派 交换 经历   志愿者 经历,,,,,,,,,,,,,,,,,,,,,,,,,
11439,2144522,,南京大学,GIS,3.61,3.47,3.61,86.1,3.61（WES）,,,,,,,,,,,,,,111,30,27,26,28,330,161,169,3.5,,,,
11440,2144523,,wilfrid laurier university,economics and financial management,3.0,2.94,3.0,80,80%,,,,,,,,,,,,,,,,,,,,,,,,,,
11441,2144560,,中国政法大学,法学,3.58,3.44,3.58,85.8,4.02/6.50，均分85.8，排名78/198,四段 实习 经历 包括 市级 检察院 北京 三中 院 大型 内 所 和 优酷 法务 发表 篇 水文 过司 考有 资格证 过 证券 从业 考试 一次 二等 奖学金 一次 一等 奖学金 和 院级 三好学生 推荐信 都 是 本校 教师 宪法 所 所长 教授 以及 院长 助理 副教授,法律（法学）,4.0,3.81,4.0,90,4.56/5.0，均分90，排名10/196,中国政法大学,7,8.5,8.0,6.0,6.0,,,,,,,,,,,,,
11442,2144559,,电子科技大学,电气工程及其自动化,3.81,3.55,3.7,87,3.81(渣电水算法，均分不到87，不过我专业给分很低)专业排名是9/124,强电 方向 论文 共同 一作 逆变器 专利 一项 水 实习 几个 申请 有些 卡小分 的 学校 的 时候 用 的 是                 的 总分 小分 过 的 雅思 成绩 本科 培养 方案 有毒 给 我 一个 电气 的 在 大 一大 二开 了 很多 弱电 的 课 申请 德国 强行 匹配 通信 课程,,,,,,,,7,7.5,8,5.5,6,,,,,,320,153,167,4,,,,
11443,2144547,,985,cs,3.7,3.55,3.7,87,87左右、6%,建模 国赛 一等奖 美赛,,,,,,,,7.5,8,9,6.5,6,,,,,,319,150,169,3.5,,,,
11444,2144524,,双非,金融,3.19,3.11,3.19,81.9,81.9/100,,,,,,,,,7,8,7,6,6,,,,,,,,,,,,,
11445,2144593,,211.985,土木工程,2.6,2.6,2.6,76,76/100,有 几年 工作 经验 一两个 资格证书,,,,,,,,6.5,7,7,5.5,5.5,,,,,,,,,,,,,
11446,2144594,,,XXX,,,,,,,心理学,,,,,XXXXX,,,,,,,,,,,,,,,,,,,
11447,2144591,,211 & 985,新闻学,3.64,3.5,3.64,86.4,3.64/4,,,,,,,,,7.5,8.5,9,6,6,,,,,,,,,,,,,
11448,2144553,,上海大学,电气,3.53,3.4,3.53,85.3,3.53/4.0,电赛 市级 奖项 校 奖学金 若干 无牛 推 无 论文,,,,,,,,,,,,,102,28,27,24,23,324,154,170,4,,,,
11449,2144565,,211 & 985,护理学,4.0,3.81,4.01,90.07,90.07/100,第一 作者 篇篇 中文 共同 作者 篇,护理学,4.0,3.97,4.19,91.92,91.92/100,211 & 985,6.5,7,8,5.5,6,,,,,,,,,,,,,
11450,2144607,,双非,英美文学,3.77,3.61,3.77,87.7,"3.77/4.0, 级16（大概）",,,,,,,,,7.5,8.5,8.5,6,6.5,,,,,,,,,,,,,
11451,2144606,,清华/北大/中科大,,,,,,,,,,,,,,,,,,,,108,30,28,24,26,,,,,,,,
11452,2144601,,香港一家大学,社会科学,,,,,LSAC S,还读 了 社会科学 硕士学位 工作 年 才 读 香港 工作 经验 包括 公司 融资 和 美国 大所当 法律 助理 推荐信   -   一封 来自 哈佛 毕业 年轻 教授 两封 是 美国 大所 合伙人,法律,,,,,top 26%; LSAC AA,香港一家大学,,,,,,117,28,30,30,29,,,,,,,,
11453,2144632,,,区域研究,3.5,3.37,3.5,85,85,,,,,,,,,,,,,,114,28,28,29,29,330,165,165,4,,,,
11454,2144630,,211,数学与应用数学,2.9,2.86,2.9,79,79,两个 短期 实习 无 校级 以上 奖项,,,,,,,,6.5,7,7,5.5,5.5,,,,,,,,,,,,,
11455,2144633,,211 & 985,自然地理与资源环境,3.67,3.52,3.67,86.7,86.7/100 30%,校级 三奖 一次 校级 优秀 团干 暑假 在 事业单位 实习 过 台湾 交换 一 学期 无 无 科研,,,,,,,,6,6,6,6,6,,,,,,,,,,,,,
11456,2144629,,双非,食品质量与安全,,,,,,,,,,,,,The University of Hong Kong,,,,,,,,,,,,,,,,,,
11457,2144618,,211 & 985,会计,3.14,3.06,3.14,81.4,3.14,半年 大型 互联网 公司财务 工作 两次 国内 会计师 事务所 实习 经验 校内 学生 工作 经验,,,,,,,,6.5,8,6,5,6,,,,,,,,,,,,,
11458,2144646,,美本,东亚研究/经济学,3.79,3.62,3.79,87.9,3.79/4.0,日语   三封 本校 教授 推荐信 ＋ 一封 实习 公司 推荐信,,,,,,,,,,,,,117,30,30,29,28,316,152,164,3.5,,,,
11459,2144645,,211,广告学,4.0,3.89,4.1,91,91+（1/50+）,奖学金 校级 企业 国奖 - - 实践 小 实习 私人 项目 媒体 部门 实习 - - 学术 挑战杯 大创 无关 项目 - - 学生 组织 理事长 级 - - 交换 项目 台湾 - - 背景 传媒 口碑 好,,,,,,,,7,7,9,6,5.5,,,,,,,,,,,,,
11460,2144639,,四非,应数,2.13,3.13,3.21,82.13,全：82.13，专：87.69,三篇 水文 两个 项目 一个 软件 著作权 建模 本 科研 赛 一等奖 计算机 算法 方面 小奖 校奖 若干,,,,,,,,,,,,,,,,,,,,,,,,,
11461,2144649,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,数学与应用数学,3.66,3.51,3.66,86.6,GPA3.66/4,,MPhil in Risk Management Science,,,,,,The Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,
11462,2144647,,双非,会计,3.72,3.56,3.72,87.2,3.72/4.0，排名年级前10%,,,,,,,,,6.5,7.5,6.5,5.5,5.5,,,,,,,,,,,,,
11463,2144660,,211,城乡规划,3.6,3.46,3.6,86,86,学校 小 奖 专业 竞赛奖 若干 设计院 实习,,,,,,,,,,,,,,,,,,,,,,,,,
11464,2144652,,双非,英语,3.14,3.06,3.14,81.4,3.14/4,上学 期间 没什么 亮点 我 的 本科 已经 在 去年 没有 了 成立 了 一所 新 大学 有 知情 的 小朋友 们 可以 猜 一 猜 哈哈 哈哈哈 不过 我 在 大学 期间 就 对 教育 很感兴趣 有 两年 教育 志愿者 领队 的 经历 在 里 也 有 提到 所以 对申 教育 方向 也许 有用,,,,,,,,7,7.5,7.5,6.5,6,,,,,,,,,,,,,
11465,2144674,,双非,翻译,3.9,3.72,3.9,89,89,本 专业 是 翻译 但是 对 语言学 很感兴趣 所以 选 了 相关 的 选修课 没有 期刊 项目 什么 的 绩点 也 一般般 害怕 跨专业 申请 不上 所以 当初 申请 了 几个 语言学 项目 的 同时 也 申请 了 某校 的 口译 目前 也 收到 了 现在 在 等 其他 项目 的 结果,,,,,,,,,,,,,,,,,,,,,,,,,
11466,2144636,,211 & 985,计算机科学与技术,3.65,3.5,3.65,86.5,86.5（8%）,研究生 退学 申请 篇 普通 一作 一篇 三作,计算机科学与技术,,,,,,211 & 985,7.5,8,8.5,6.5,6.5,,,,,,,,,,,,,
11467,2144675,,211 & 985,农村区域发展（国际发展）,3.5,3.37,3.5,85.0,GPA3.5/4.0,,,,,,,,,6.5,6.5,7,6,5.5,,,,,,,,,,,,,
11468,2144683,,双非,经济学,3.74,3.58,3.74,87.4,3.74 1/53,,Economics,,,,,A-,,,,,,,,,,,,323,155,168,3.5,,,,
11469,2144676,,211,法学,3.7,3.72,3.9,89,3.7/4;89/100,学术 普刊 论文 替 大佬 翻译 万字 科研 某 专题 小组 成员 有 成果 实践 国际 会议 志愿者 民法典 编纂 继承 部分 调查 志愿者 校级 大创 实习 律所 其他 过司 考小奖 计算机 二级 辅修 心理学 推荐 院长 + 副教授,,,,,,,,7.5,9.0,8.5,6.0,6.0,,,,,,,,,,,,,
11470,2144661,,双非,国际经济法,3.70,3.55,3.7,87.0,3.70/4.00,无,,,,,,,,6.5,6.5,7.5,6.0,5.5,,,,,,,,,,,,,
11471,2144680,,211 & 985,工业设计,3.54,3.41,3.54,85.4,85.4,三等 学习 奖学金 一个 国 二 一个 市一 还有 一些 设计 类小奖 三段 相关 实习 经历,,,,,,,,7.5,8.0,8.5,6.0,6.5,,,,,,,,,,,,,
11472,2144686,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,环境规划与管理,3.5,3.37,3.5,85,85,,,,,,,,,,,,,,99,29,27,22,21,319,149,170,3,,,,
11473,2144707,,985院校,法学/经济学,,,,,评级AA,,,,,,,,,,,,,,108,27,26,26,29,,,,,,,,
11474,2144689,,211,法学,3.7,3.55,3.7,87,3.7/5.0(均分87)，排名40/197,三份 实习 基层 法院 小所 数据库 一个 小 课题 校级 奖学金 两次,,,,,,,,,,,,,,,,,,,,,,,,,
11475,2144700,,211 & 985,化学相关,3.6,3.46,3.6,86,86/100， top10%,,,,,,,,,,,,,,98,27,25,23,23,322,156,166,3,,,,
11476,2144701,Chemistry（化学）                    97%,清华/北大/中科大,化学生物学,3.64,3.5,3.64,86.4,3.64，11/25,和 暑研 无 文章 物理化学 方向,,,,,,,,,,,,,111,30,30,22,29,325,155,170,3.5,,,,
11477,2144688,,211,英语,,,,,4.12/5,日语 无 研究 经历 无 相关 实习 推荐信 一封 是 来 学校 上过 课 的 英国 老师 写 的,,,,,,,,,,,,,108,28,30,23,27,332,163,169,3.5,,,,
11478,2144710,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,财务管理,3.85,3.68,3.85,88.5,88.5,有 一段 科研 无 论文,,,,,,,,,,,,,,,,,,331,162,169,3.0,,,,
11479,2144705,,211 & 985,物理 管理（双学位）,3.3,3.2,3.3,83,83 & 89,,,,,,,,,7,8,7.5,5.5,6.0,,,,,,,,,,,,,
11480,2144711,,211 & 985,生物,3.9,3.72,3.9,89,89\100,挂名 论文 国外 交流 一年,,,,,,,,,,,,,,,,,,,,,,,,,
11481,2144719,,香港中文大学（深圳）,Global Business Management,3.45,3.33,3.45,84.5,3.45 （Major GPA 3.72),,,,,,,,,7.5,8.5,8,6.5,6.5,,,,,,,,,,,,,
11482,2144718,,211,物流管理,3.7,3.55,3.7,87.0,3.7/4,,,,,,,,,,,,,,,,,,,,,,,,,,
11483,2144733,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,临床医学,3.52,3.4,3.52,85.24,85.24，与biomedical science相关课程大多90+,优毕 奖学金 等 小奖 若干 日本 交换 做过   大创 一年 半 结题 无 大概 是 硬伤 医学 狗 哭泣 一年 医院 实习 推荐信 一封 是 医院 副 院长 作为   的 身份 写 的 另一封 学校 教授 剩下 就 什么 学生会 班长 一类 的,,,,,,,,,,,,,113,30,30,26,27,327,158,169,3.5,,,,
11484,2144735,,双非,古建,3.64,3.5,3.64,86.4,3.64/4.0,几次 奖学金 设计院 实习 相关 课程 证书 有 附带 作品集,,,,,,,,6.5,6,7.5,6,6,,,,,,,,,,,,,
11485,2144738,,211 & 985,中文系,3.21,3.12,3.21,82.1,GPA3.21,台湾 交换 一段 台湾   一段 校内 活动 大大小小 实习 一段 工作 经历 一段 背景 没什么 亮点 基本 符合条件 吧,,,,,,,,7,7,8.5,6,6,,,,,,,,,,,,,
11486,2144723,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,汉语言文学,3.41,3.3,3.41,84.1,3.41/4.0,三份 实习 其中 两个 是 和 媒体 相关 的 推荐信 就是 院里 教授 写 的 中大 递交 网申 纸质 材料 寄 到 收到 面试 通知 我选 的 当代 中国 方向 收到 推研 科大 递交 网申 收到 城大 递交 网申 收到 无 面试,,,,,,,,7,7.5,7,7,5.5,,,,,,,,,,,,,
11487,2144743,,211,药学类,2.71,2.69,2.71,77.1,2.71,一段 上海市 的 医药公司 实习 一段 大学生 创新 实验 经历 封 推荐信 是 学校 的 副教授 非大牛 封 是 实习 公司 的 执行 总监,,,,,,,,,,,,,91,28,22,20,21,315,148,167,2.0,,,,
11488,2144725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11489,2144753,,Nanyang Technological University,电子电机工程,,,,,4.82/5.00,,MBA,,,,,4.6/5.0,Nanyang Technological University,,,,,,,,,,,,,,,,,,
11490,2144767,,非政法211院校,法学院,3.39,3.13,3.21,82.15,GPA3.39/5 （82.15/100）,,,,,,,,,7,8.5,7.5,6,6,,,,,,,,,,,,,
11491,2144758,,双非,social work,3.48,3.36,3.48,84.8,3.48,一年 + 年 香港 实务 经验 上学时 和 本科 老师 做过 研究 项目 时 也 有 暑研 推荐信 一 美国 大牛 教授 二 香港 副教授 没有,social work,,,,,,香港,,,,,,111,30,28,24,29,323,157,166,4.0,,,,
11492,2144779,,四非,汉语言文学（师范）,3.71,3.56,3.71,87.13,87.13,科研 个   实习 个   每年 奖学金   三好学生 等奖项   校级 组织 副 部长,,,,,,,,7,8,7.5,6,6,,,,,,,,,,,,,
11493,2144741,,211 & 985,信息与计算科学,3.73,3.57,3.73,87.3,3.73/4.0,,,,,,,,,,,,,,106,30,27,23,26,326,156,170,3.5,,,,
11494,2144775,,211 & 985,统计,3.4,3.29,3.4,84,84/100,没什么 可说 的,统计,2.7,2.69,2.7,77,77/100 distiction,曼彻斯特大学,,,,,,,,,,,,,,,,,,
11495,2144781,,211 & 985,法学,,,,,AA,一 学期 台湾 交换 两段 小所 短期 实习 两个 老师 和 一个 律所 合伙人 的 推荐信,,,,,,,,,,,,,,,,,,,,,,,,,
11496,2144804,,211,心理学,3.7,3.55,3.7,87.0,3.7/4,刊二作 一篇 三作 一篇 还有 一篇 一作 在 审 若干 科研 经历 无 国际 会议 论文 无 海外 交换 经历 三封 推荐信 都 是 国内 老师 其中 一封 算是 国内 牛 推,教育经济与管理,3.8,3.63,3.8,88.0,3.8/4,211 & 985,,,,,,,,,,,327,,,3,,,,
11497,2144797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11498,2144798,,211,中文（辅修法学）,,,,,中文成绩4.58/5.3（2/39）；法学成绩3.61/5.3,两年 多 帝都 公务员 工作 经验 包括 基层 普法 活动 等 过 了 司法考试 证券 从业 资格证 翻译 资格 三级 笔译 一封 教授 推荐信 一封 领导 推荐信,,,,,,,,,,,,,100,30,25,22,23,,,,,,,,
11499,2144771,,211 & 985,工程力学,3.45,3.43,3.56,85.6,GPA：3.45/4.0  均分：85.6/100  排名：7/63,国内 数据挖掘 期刊 一篇 校内 科研 共同 作者 数模 国 二 两份 水 实习,,,,,,,,6.5,7,7,5.5,6,,,,,,,,,,,,,
11500,2144800,,211 & 985,化学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11501,2144836,,双非,外交学,3.6,3.46,3.6,86.0,3.6/4.0,暑校 国际 志愿者 不会 法语 个水 实习,,,,,,,,7.5,8.5,8.5,7,6,,,,,,,,,,,,,
11502,2144806,,211,英语,3.6,3.46,3.6,86,86,无 论文 有个 水 实习,,,,,,,,,,,,,,,,,,,,,,,,,
11503,2144816,,北京工业大学,环境科学,3.9,3.72,3.9,89.0,3.9/4.0,,,,,,,,,,,,,,102,28,24,22,28,,,,,,,,
11504,2144862,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,化学,,,,,4.3,有机化学 在读 没有 金融 相关 经历 化学 发表 论文 篇 影响 因子 共计 被 引用 次,化学,,,,,,University of Texas at Austin,,,,,,,,,,,329,159,170,3.5,,,,
11505,2144792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11506,2144814,,211,社保,3.54,3.41,3.54,85.38,85.38,,,,,,,,,7,7.5,8.5,6,6,,,,,,,,,,,,,
11507,2144827,,清华/北大/中科大,中文,3.5,3.37,3.5,85.0,3.5/4.0,一篇 论文 三封 教授 推荐 有 校级 奖学金 和 奖状 若干 一个 学期 的 海外 交换 经历 田野 实习 方言 调查 暑期 高级 研修班,,,,,,,,,,,,,,,,,,325,155,170,3.5,,,,
11508,2144867,,211,信息管理与信息系统,3.6,3.46,3.6,86,均分86/100,一段 实习   数模 省奖   还有 一些 水 奖学金,,,,,,,,6.5,7.5,7.5,5.5,5.5,,,,,,,,,,,,,
11509,2144868,,211,汉语国际教育,3.2,3.16,3.25,82.5,3.2/4 均分82.5,,,,,,,,,6.5,6.5,6.5,6,6,,,,,,,,,,,,,
11510,2144899,,985,经济学,,,,,,,经济学,,,,,,985,,,,,,110,30,29,24,27,330,160,170,3.5,,,,
11511,2144873,,211,新闻传播,3.89,3.71,3.89,88.9,3.89/4.0,,,,,,,,,,,,,,110,27,29,26,28,316,155,161,3.5,,,,
11512,2144892,,双非,工程造价,3.5,3.37,3.5,85,85,,,,,,,,,6.5,7,6.5,6,6,,,,,,,,,,,,,
11513,2144931,,澳门大学,社会学,3.76,3.6,3.76,87.6,"3.76/4.0, Top 1 student",感觉 牛津 很 重视   中 关于 个人 求学 目的 和 未来 研究 方向 的 部分 在 写 前 浏览 了 系内 部分 教授 的 研究 兴趣 陈述 以及 进行 中 的 研究 项目 将 此类 信息 作为 参照 完成 了 自己 的 个人 陈述 提交 的 简历 中有 包含 本科 当中 两次 作为 研究 助理 和 一次 同 教授 共同完成 研究 项目 的 经历 并且 提交 了 已 发表 论文 的 推荐信 方面 两封 人类学 大牛 强推 一封 本校 系主任 推荐信,,,,,,,,8,9,9,7.5,7,,,,,,,,,,,,,
11514,2144879,,National University of Singapore,Chemical Engineering,,,,,4.93/5.00,两段 科研 经历   两篇 文章 在 投   其中 一篇 共同 二作,,,,,,,,,,,,,113,29,29,26,29,334,164,170,5.0,,,,
11515,2144920,,浙江工业大学,法学,3.6,3.46,3.6,86.0,3.6/5,司考中 院 实习 公安局 实习,,,,,,,,7,8.5,7.5,6,6,,,,,,,,,,,,,
11516,2144910,,211,信息与计算科学,2.8,2.77,2.8,78,78,,,,,,,,,6.5,7.0,7.0,6.0,5.5,,,,,,,,,,,,,
11517,2144996,,双非,财务,3.1,3.03,3.1,81.0,3.1/4,三至 四个 相关 实习 三个 海外 学习 经历,,,,,,,,6.5,7,6,6.5,6.5,,,,,,,,,,680,50,31,
11518,2145026,,双非,侦查学,3.8,3.63,3.8,88,88/100,若干 奖学金   通过 了 司法考试   有 几个 竞赛 获奖   一个 普内 一个 顶尖 以及 一个 公安局 实习 经历,法律硕士,,,,,4.1/5,211,,,,,,106,29,27,23,27,,,,,,,,
